text1,text2,label,text1_mean_entropy,text1_sum_entropy,text1_n_tokens,text2_mean_entropy,text2_sum_entropy,text2_n_tokens,delta_mean_entropy,delta_sum_entropy,delta_n_tokens
"   	public double solve(final org.apache.commons.math.analysis.UnivariateRealFunction f, double min, double max, double initial) throws -	org.apache.commons.math.FunctionEvaluationException, org.apache.commons.math.MaxIterationsExceededException {-		return solve(min, max);+	org.apache.commons.math.FunctionEvaluationException, org.apache.commons.math.MaxIterationsExceededException { 		return solve(f, min, max);+ 	}  ","   	public double solve(final org.apache.commons.math.analysis.UnivariateRealFunction f, double min, double max, double initial) throws -	org.apache.commons.math.FunctionEvaluationException, org.apache.commons.math.MaxIterationsExceededException {-		return solve(min, max);+	org.apache.commons.math.FunctionEvaluationException, org.apache.commons.math.MaxIterationsExceededException { 		return solve(f, min, max);+ 	}  ",0,1.3693693693693694,152.0,111,1.3693693693693694,152.0,111,0.0,0.0,0
"                 case REGULA_FALSI:                     // Nothing.                     if (x == x1) {-                        x0 = 0.5 * (x0 + x1 - FastMath.max(rtol * FastMath.abs(x1), atol));-                        f0 = computeObjectiveValue(x0);                     }                     break;                 default:",                 case REGULA_FALSI:                     // Nothing.                     if (x == x1) {+                        final double relativeAccuracy = getRelativeAccuracy();                     }                     break;                 default:,0,2.6166666666666667,196.25,75,3.571875,142.875,40,-0.9552083333333332,53.375,35
"   private Pattern p = null;      private Text lastReplacement = new Text();-  private String replacementString = null;     Text result = new Text();   public UDFRegExpReplace() {       return null;     }     // If the regex is changed, make sure we compile the regex again.-    if (!regex.equals(lastRegex)) {       lastRegex.set(regex);       p = Pattern.compile(regex.toString());     }","   private Pattern p = null;      private Text lastReplacement = new Text();+  private String replacementString = """";     Text result = new Text();   public UDFRegExpReplace() {       return null;     }     // If the regex is changed, make sure we compile the regex again.+    if (!regex.equals(lastRegex) || p == null) {       lastRegex.set(regex);       p = Pattern.compile(regex.toString());     }",0,2.2620967741935485,210.375,93,2.252577319587629,218.5,97,0.00951945460591963,-8.125,-4
     if (s == null || regex == null) {       return null;     }-    if (!regex.equals(lastRegex)) {       lastRegex.set(regex);       p = Pattern.compile(regex.toString());     },     if (s == null || regex == null) {       return null;     }+    if (!regex.equals(lastRegex) || p == null) {       lastRegex.set(regex);       p = Pattern.compile(regex.toString());     },0,1.765,88.25,50,1.7125,94.1875,55,0.05249999999999999,-5.9375,-5
"     ExecDriverTaskHandle th = (ExecDriverTaskHandle)t;     RunningJob rj = th.getRunningJob();     this.mapProgress = Math.round(rj.mapProgress() * 100);-    this.reduceProgress = Math.round(rj.mapProgress() * 100);     taskCounters.put(""CNTR_NAME_"" + getId() + ""_MAP_PROGRESS"", Long.valueOf(this.mapProgress));     taskCounters.put(""CNTR_NAME_"" + getId() + ""_REDUCE_PROGRESS"", Long.valueOf(this.reduceProgress));     Counters ctrs = th.getCounters();","     ExecDriverTaskHandle th = (ExecDriverTaskHandle)t;     RunningJob rj = th.getRunningJob();     this.mapProgress = Math.round(rj.mapProgress() * 100);+    this.reduceProgress = Math.round(rj.reduceProgress() * 100);     taskCounters.put(""CNTR_NAME_"" + getId() + ""_MAP_PROGRESS"", Long.valueOf(this.mapProgress));     taskCounters.put(""CNTR_NAME_"" + getId() + ""_REDUCE_PROGRESS"", Long.valueOf(this.reduceProgress));     Counters ctrs = th.getCounters();",0,1.5305755395683454,212.75,139,1.5026978417266188,208.875,139,0.027877697841726556,3.875,0
"     fsp2.configureDynPartPath(dirName, !conf.isMmTable() && isUnionDp ? unionPath : null);     Utilities.LOG14535.info(""creating new paths "" + System.identityHashCode(fsp2) + "" for ""         + dirName + "", childSpec "" + unionPath + "": tmpPath "" + fsp2.getTmpPath()-        + "", task path "" + fsp2.getTaskOutputTempPath(), new Exception());     if(!conf.getDpSortState().equals(DPSortState.PARTITION_BUCKET_SORTED)) {       createBucketFiles(fsp2);       valToPaths.put(dirName, fsp2);","     fsp2.configureDynPartPath(dirName, !conf.isMmTable() && isUnionDp ? unionPath : null);     Utilities.LOG14535.info(""creating new paths "" + System.identityHashCode(fsp2) + "" for ""         + dirName + "", childSpec "" + unionPath + "": tmpPath "" + fsp2.getTmpPath()+        + "", task path "" + fsp2.getTaskOutputTempPath());     if(!conf.getDpSortState().equals(DPSortState.PARTITION_BUCKET_SORTED)) {       createBucketFiles(fsp2);       valToPaths.put(dirName, fsp2);",0,2.988562091503268,457.25,153,2.99,448.5,150,-0.0014379084967321987,8.75,3
"   @org.apache.hadoop.classification.InterfaceAudience.Public @org.apache.hadoop.classification.InterfaceStability.Stable public static class add_write_notification_log_args implements org.apache.thrift.TBase<add_write_notification_log_args, add_write_notification_log_args._Fields>, java.io.Serializable, Cloneable, Comparable<add_write_notification_log_args>   {     private static final org.apache.thrift.protocol.TStruct STRUCT_DESC = new org.apache.thrift.protocol.TStruct(""add_write_notification_log_args""); -    private static final org.apache.thrift.protocol.TField RQST_FIELD_DESC = new org.apache.thrift.protocol.TField(""rqst"", org.apache.thrift.protocol.TType.STRUCT, (short)-1);      private static final Map<Class<? extends IScheme>, SchemeFactory> schemes = new HashMap<Class<? extends IScheme>, SchemeFactory>();     static {      /** The set of fields this struct contains, along with convenience methods for finding and manipulating them. */     public enum _Fields implements org.apache.thrift.TFieldIdEnum {-      RQST((short)-1, ""rqst"");        private static final Map<String, _Fields> byName = new HashMap<String, _Fields>();         */       public static _Fields findByThriftId(int fieldId) {         switch(fieldId) {-          case -1: // RQST             return RQST;           default:             return null;             break;           }           switch (schemeField.id) {-            case -1: // RQST               if (schemeField.type == org.apache.thrift.protocol.TType.STRUCT) {                 struct.rqst = new WriteNotificationLogRequest();                 struct.rqst.read(iprot);","   @org.apache.hadoop.classification.InterfaceAudience.Public @org.apache.hadoop.classification.InterfaceStability.Stable public static class add_write_notification_log_args implements org.apache.thrift.TBase<add_write_notification_log_args, add_write_notification_log_args._Fields>, java.io.Serializable, Cloneable, Comparable<add_write_notification_log_args>   {     private static final org.apache.thrift.protocol.TStruct STRUCT_DESC = new org.apache.thrift.protocol.TStruct(""add_write_notification_log_args""); +    private static final org.apache.thrift.protocol.TField RQST_FIELD_DESC = new org.apache.thrift.protocol.TField(""rqst"", org.apache.thrift.protocol.TType.STRUCT, (short)1);      private static final Map<Class<? extends IScheme>, SchemeFactory> schemes = new HashMap<Class<? extends IScheme>, SchemeFactory>();     static {      /** The set of fields this struct contains, along with convenience methods for finding and manipulating them. */     public enum _Fields implements org.apache.thrift.TFieldIdEnum {+      RQST((short)1, ""rqst"");        private static final Map<String, _Fields> byName = new HashMap<String, _Fields>();         */       public static _Fields findByThriftId(int fieldId) {         switch(fieldId) {+          case 1: // RQST             return RQST;           default:             return null;             break;           }           switch (schemeField.id) {+            case 1: // RQST               if (schemeField.type == org.apache.thrift.protocol.TType.STRUCT) {                 struct.rqst = new WriteNotificationLogRequest();                 struct.rqst.read(iprot);",0,0.7790123456790123,315.5,405,0.7212009803921569,294.25,408,0.05781136528685549,21.25,-3
"       rowsRet = work.getLimit() >= 0 ? Math.min(work.getLimit() - totalRows, maxRows) : maxRows;     }     try {-      if (rowsRet <= 0) {         fetch.clearFetchContext();         return false;       }","       rowsRet = work.getLimit() >= 0 ? Math.min(work.getLimit() - totalRows, maxRows) : maxRows;     }     try {+      if (rowsRet <= 0 || work.getLimit() == totalRows) {         fetch.clearFetchContext();         return false;       }",0,2.53125,151.875,60,2.2982142857142858,160.875,70,0.23303571428571423,-9.0,-10
         case ORC:           // adapt base type to what orc needs           if (literal instanceof Integer) {-            return Long.valueOf(literal.toString());           }           return literal;         case PARQUET:           Integer)) {         return literalList;       }-      List<Object> result = new ArrayList<Object>();       for (Object o : literalList) {-        result.add(Long.valueOf(o.toString()));       }       return result;     }       } else if (literal instanceof Byte ||           literal instanceof Short ||           literal instanceof Integer) {-        return Long.valueOf(literal.toString());       } else if (literal instanceof Float) {         // to avoid change in precision when upcasting float to double         // we convert the literal to string and parse it as double. (HIVE-8460),         case ORC:           // adapt base type to what orc needs           if (literal instanceof Integer) {+            return ((Number) literal).longValue();           }           return literal;         case PARQUET:           Integer)) {         return literalList;       }+      List<Object> result = new ArrayList<Object>(literalList.size());       for (Object o : literalList) {+        result.add(((Number) o).longValue());       }       return result;     }       } else if (literal instanceof Byte ||           literal instanceof Short ||           literal instanceof Integer) {+        return ((Number) literal).longValue();       } else if (literal instanceof Float) {         // to avoid change in precision when upcasting float to double         // we convert the literal to string and parse it as double. (HIVE-8460),0,2.0411931818181817,359.25,176,1.9402777777777778,349.25,180,0.10091540404040389,10.0,-4
"     OriginalType annotation = type.getOriginalType();     if (annotation == OriginalType.LIST) {       return HiveCollectionConverter.forList(type, parent, index);-    } else if (annotation == OriginalType.MAP) {       return HiveCollectionConverter.forMap(type, parent, index);     } ","     OriginalType annotation = type.getOriginalType();     if (annotation == OriginalType.LIST) {       return HiveCollectionConverter.forList(type, parent, index);+    } else if (annotation == OriginalType.MAP || annotation == OriginalType.MAP_KEY_VALUE) {       return HiveCollectionConverter.forMap(type, parent, index);     } ",0,1.9503676470588236,132.625,68,1.8686708860759493,147.625,79,0.08169676098287426,-15.0,-11
